MonthYear,Country,StoreID,City,Dept_ID,Dept. Name,HoursOwn,Sales units,Turnover,Opening hours,class1,class2,class3
10.2016,United Kingdom,88253.0,London (I),1.0,Dry,3184.764,398560.0,1226244.0,Type A,bad,0,0
10.2016,United Kingdom,88253.0,London (I),2.0,Frozen,1582.941,82725.0,387810.0,Type A,bad,0,0
10.2016,United Kingdom,88253.0,London (I),3.0,other,47.205,438400.0,654657.0,Type A,bad,0,0
10.2016,United Kingdom,88253.0,London (I),4.0,Fish,1623.852,309425.0,499434.0,Type A,bad,0,0
10.2016,United Kingdom,88253.0,London (I),5.0,Fruits & Vegetables,1759.173,165515.0,329397.0,Type A,bad,0,0
10.2016,United Kingdom,88253.0,London (I),6.0,Meat,8270.316,1713310.0,5617137.0,Type A,good,1,1
10.2016,United Kingdom,88253.0,London (I),13.0,Food,16468.251,3107935.0,8714679.0,Type A,good,1,1
10.2016,United Kingdom,88253.0,London (I),7.0,Clothing,4698.471,213680.0,1615341.0,Type A,bad,0,0
10.2016,United Kingdom,88253.0,London (I),8.0,Household,1183.272,54915.0,290400.0,Type A,bad,0,0
10.2016,United Kingdom,88253.0,London (I),9.0,Hardware,2029.815,59260.0,450015.0,Type A,bad,0,0
10.2016,United Kingdom,88253.0,London (I),14.0,Non Food,7911.558,327855.0,2355756.0,Type A,bad,0,0
10.2016,United Kingdom,88253.0,London (I),15.0,Admin,4308.243,0.0,0.0,Type A,bad,0,0
10.2016,United Kingdom,88253.0,London (I),12.0,Checkout,5825.097,3435790.0,11070435.0,Type A,good,1,1
10.2016,United Kingdom,88253.0,London (I),16.0,Customer Services,3320.085,0.0,0.0,Type A,bad,0,0
10.2016,United Kingdom,88253.0,London (I),11.0,Delivery,0,0.0,0.0,Type A,bad,0,0
10.2016,United Kingdom,88253.0,London (I),17.0,others,2253.252,0.0,0.0,Type A,bad,0,0
10.2016,United Kingdom,88253.0,London (I),18.0,all,40086.486,3435790.0,11070435.0,Type A,good,1,1
10.2016,United Kingdom,38976.0,Manchester,1.0,Dry,2583.687,754600.0,2648175.0,Type A,bad,0,0
10.2016,United Kingdom,38976.0,Manchester,2.0,Frozen,5145.345,216925.0,1291830.0,Type A,bad,0,0
10.2016,United Kingdom,38976.0,Manchester,3.0,other,47.205,1111835.0,1822749.0,Type A,bad,0,1
10.2016,United Kingdom,38976.0,Manchester,4.0,Fish,3008.532,918270.0,170775.0,Type A,bad,0,0
10.2016,United Kingdom,38976.0,Manchester,5.0,Fruits & Vegetables,8909.157,507295.0,1068444.0,Type A,bad,0,0
10.2016,United Kingdom,38976.0,Manchester,6.0,Meat,15779.058,3408220.0,12831339.0,Type A,good,1,1
10.2016,United Kingdom,38976.0,Manchester,13.0,Food,35472.984,6917145.0,21423312.0,Type A,good,1,1
10.2016,United Kingdom,38976.0,Manchester,7.0,Clothing,7889.529,421280.0,3390450.0,Type A,bad,0,0
10.2016,United Kingdom,38976.0,Manchester,8.0,Household,1762.32,82835.0,382380.0,Type A,bad,0,0
10.2016,United Kingdom,38976.0,Manchester,9.0,Hardware,2797.683,55420.0,523590.0,Type A,bad,0,0
10.2016,United Kingdom,38976.0,Manchester,14.0,Non Food,12449.532,559535.0,4296420.0,Type A,good,1,0
10.2016,United Kingdom,38976.0,Manchester,15.0,Admin,6967.458,5.0,0.0,Type A,bad,0,0
10.2016,United Kingdom,38976.0,Manchester,12.0,Checkout,11719.428,7476680.0,25719732.0,Type A,good,1,1
10.2016,United Kingdom,38976.0,Manchester,16.0,Customer Services,5491.515,5.0,0.0,Type A,bad,0,0
10.2016,United Kingdom,38976.0,Manchester,11.0,Delivery,0,120.0,243.0,Type A,bad,0,0
10.2016,United Kingdom,38976.0,Manchester,17.0,others,2300.457,5.0,0.0,Type A,bad,0,0
10.2016,United Kingdom,38976.0,Manchester,18.0,all,74401.374,7476680.0,25719732.0,Type A,good,1,1
10.2016,United Kingdom,17647.0,Liverpool,1.0,Dry,2341.368,532855.0,1853250.0,Type A,bad,0,0
10.2016,United Kingdom,17647.0,Liverpool,2.0,Frozen,3077.766,167015.0,859218.0,Type A,bad,0,0
10.2016,United Kingdom,17647.0,Liverpool,3.0,other,47.205,896495.0,140016.0,Type A,bad,0,0
10.2016,United Kingdom,17647.0,Liverpool,4.0,Fish,2196.606,485250.0,825447.0,Type A,bad,0,0
10.2016,United Kingdom,17647.0,Liverpool,5.0,Fruits & Vegetables,3383.025,309260.0,583395.0,Type A,bad,0,0
10.2016,United Kingdom,17647.0,Liverpool,6.0,Meat,16493.427,3142355.0,10552749.0,Type A,good,1,1
10.2016,United Kingdom,17647.0,Liverpool,13.0,Food,27539.397,5533230.0,16134075.0,Type A,good,1,1
10.2016,United Kingdom,17647.0,Liverpool,7.0,Clothing,8528.37,305310.0,2621853.0,Type A,bad,0,0
10.2016,United Kingdom,17647.0,Liverpool,8.0,Household,1957.434,76875.0,369015.0,Type A,bad,0,0
10.2016,United Kingdom,17647.0,Liverpool,9.0,Hardware,2580.54,64370.0,573678.0,Type A,bad,0,0
10.2016,United Kingdom,17647.0,Liverpool,14.0,Non Food,13066.344,446555.0,3564546.0,Type A,bad,0,0
10.2016,United Kingdom,17647.0,Liverpool,15.0,Admin,4947.084,10.0,0.0,Type A,bad,0,0
10.2016,United Kingdom,17647.0,Liverpool,12.0,Checkout,8965.803,5979785.0,19698621.0,Type A,good,1,1
10.2016,United Kingdom,17647.0,Liverpool,16.0,Customer Services,3584.433,10.0,0.0,Type A,bad,0,0
10.2016,United Kingdom,17647.0,Liverpool,11.0,Delivery,0,2795.0,3150.0,Type A,bad,0,0
10.2016,United Kingdom,17647.0,Liverpool,17.0,others,2624.598,10.0,0.0,Type A,bad,0,0
10.2016,United Kingdom,17647.0,Liverpool,18.0,all,60727.659,5979785.0,19698621.0,Type A,good,1,1
10.2016,United Kingdom,22117.0,Birmingham,1.0,Dry,1976.316,400965.0,1155525.0,Type A,bad,0,0
10.2016,United Kingdom,22117.0,Birmingham,2.0,Frozen,903.189,58920.0,313425.0,Type A,bad,0,0
10.2016,United Kingdom,22117.0,Birmingham,3.0,other,47.205,372615.0,511839.0,Type A,bad,0,0
10.2016,United Kingdom,22117.0,Birmingham,4.0,Fish,1542.03,253660.0,444939.0,Type A,bad,0,0
10.2016,United Kingdom,22117.0,Birmingham,5.0,Fruits & Vegetables,2111.637,130240.0,272001.0,Type A,bad,0,0
10.2016,United Kingdom,22117.0,Birmingham,6.0,Meat,5850.273,1034295.0,2824530.0,Type A,bad,0,0
10.2016,United Kingdom,22117.0,Birmingham,13.0,Food,12430.65,2250695.0,5522259.0,Type A,good,1,1
10.2016,United Kingdom,22117.0,Birmingham,7.0,Clothing,3162.735,144460.0,1335438.0,Type A,bad,0,0
10.2016,United Kingdom,22117.0,Birmingham,8.0,Household,1579.794,48085.0,264981.0,Type A,bad,0,0
10.2016,United Kingdom,22117.0,Birmingham,9.0,Hardware,1954.287,41520.0,364386.0,Type A,bad,0,0
10.2016,United Kingdom,22117.0,Birmingham,14.0,Non Food,6696.816,234065.0,1964805.0,Type A,bad,0,0
10.2016,United Kingdom,22117.0,Birmingham,15.0,Admin,3581.286,15.0,0.0,Type A,bad,0,0
10.2016,United Kingdom,22117.0,Birmingham,12.0,Checkout,3738.636,2484760.0,7487064.0,Type A,good,1,1
10.2016,United Kingdom,22117.0,Birmingham,16.0,Customer Services,2435.778,15.0,0.0,Type A,bad,0,0
10.2016,United Kingdom,22117.0,Birmingham,11.0,Delivery,6621.288,923245.0,2366745.0,Type A,bad,0,0
10.2016,United Kingdom,22117.0,Birmingham,17.0,others,31.47,15.0,0.0,Type A,bad,0,0
10.2016,United Kingdom,22117.0,Birmingham,18.0,all,35535.924,2484760.0,7487064.0,Type A,good,1,1
10.2016,United Kingdom,73949.0,Leicester,1.0,Dry,2489.277,502530.0,2031642.0,Type B,bad,0,0
10.2016,United Kingdom,73949.0,Leicester,2.0,Frozen,2939.298,177730.0,1085793.0,Type B,bad,0,0
10.2016,United Kingdom,73949.0,Leicester,3.0,other,47.205,749240.0,1225689.0,Type B,bad,0,0
10.2016,United Kingdom,73949.0,Leicester,4.0,Fish,1589.235,446150.0,842403.0,Type B,bad,0,0
10.2016,United Kingdom,73949.0,Leicester,5.0,Fruits & Vegetables,2092.755,181105.0,451797.0,Type B,bad,0,0
10.2016,United Kingdom,73949.0,Leicester,6.0,Meat,10643.154,1804690.0,8395014.0,Type B,good,1,1
10.2016,United Kingdom,73949.0,Leicester,13.0,Food,19800.924,3861445.0,14032338.0,Type B,good,1,1
10.2016,United Kingdom,73949.0,Leicester,7.0,Clothing,5104.434,235375.0,1752483.0,Type B,bad,0,0
10.2016,United Kingdom,73949.0,Leicester,8.0,Household,1450.767,52015.0,311598.0,Type B,bad,0,0
10.2016,United Kingdom,73949.0,Leicester,9.0,Hardware,874.866,53330.0,453528.0,Type B,bad,0,0
10.2016,United Kingdom,73949.0,Leicester,14.0,Non Food,7430.067,340720.0,251709.0,Type B,bad,0,0
10.2016,United Kingdom,73949.0,Leicester,15.0,Admin,3801.576,20.0,0.0,Type B,bad,0,0
10.2016,United Kingdom,73949.0,Leicester,12.0,Checkout,9654.996,4202165.0,16549947.0,Type B,good,1,1
10.2016,United Kingdom,73949.0,Leicester,16.0,Customer Services,2586.834,20.0,0.0,Type B,bad,0,0
10.2016,United Kingdom,73949.0,Leicester,11.0,Delivery,3634.785,437630.0,1610880.0,Type B,bad,0,0
10.2016,United Kingdom,73949.0,Leicester,17.0,others,2152.548,20.0,0.0,Type B,bad,0,0
10.2016,United Kingdom,73949.0,Leicester,18.0,all,49061.73,4202165.0,16549947.0,Type B,good,1,1
10.2016,United Kingdom,18808.0,London (II),1.0,Dry,3773.253,465035.0,1659288.0,Type B,bad,0,0
10.2016,United Kingdom,18808.0,London (II),2.0,Frozen,1633.293,93235.0,57204.0,Type B,bad,0,0
10.2016,United Kingdom,18808.0,London (II),3.0,other,47.205,489115.0,767496.0,Type B,bad,0,0
10.2016,United Kingdom,18808.0,London (II),4.0,Fish,1988.904,343925.0,655371.0,Type B,bad,0,0
10.2016,United Kingdom,18808.0,London (II),5.0,Fruits & Vegetables,2105.343,155465.0,351723.0,Type B,bad,0,0
10.2016,United Kingdom,18808.0,London (II),6.0,Meat,7168.866,1413965.0,5834997.0,Type B,good,1,1
10.2016,United Kingdom,18808.0,London (II),13.0,Food,16716.864,2960740.0,9841479.0,Type B,good,1,1
